978-7-111-48787-6_2-1|程序员面试笔试宝典  第2版
978-7-111-41679-1_1-1|ANSYS 14.0工程实例解析与常见问题解答
978-7-111-38336-9_1-1|AutoCAD机械制图上机指导与习题集
978-7-111-48800-2_1-1|Origin9.1科技绘图及数据分析
978-7-111-57603-7_1-1|中文版CATIA V5-6 R2017从入门到精通
978-7-111-49620-5_2-1|Solidworks 2015宝典
978-7-111-59828-2_1-1|App Inventor2定制与二次开发
978-7-111-49817-9_4-1|UG+NX10中文版零件设计实例精讲
978-7-111-58110-9_1-1|Autodesk Navisworks 2017基础应用教程
978-7-111-47125-7_3-1|SolidWorks 2014有限元、虚拟样机与流场分析从入门到精通
978-7-111-33837-6_4-2|AutoCAD 2011电气设计 第4版
978-7-111-48721-0_1-1|软件研发成本度量规范释义
978-7-111-28256-3_1-5|西门子工业通信网络组态编程与故障诊断
978-7-111-47101-1_3-1|Creo 3.0曲面设计实例精解
978-7-111-36022-3_1-1|FLUENT6.3流场分析从入门到精通
978-7-111-51699-6_2-1|AutoCAD 2016建筑园林景观施工图设计从入门到精通  第2版                                                                  
978-7-111-58724-8_6-1|CATIA V5-6R2016曲面设计实例精解
978-7-111-59782-7_1-1|实感交互：人工智能下的人机交互技术
978-7-111-40644-0_1-1|DreamweaverCS6网页美工设计入门与应用
978-7-111-35429-1_2-3|CATIA V5R20产品设计实例精解
978-7-111-55014-3_1-1|Java程序员面试笔试真题库
978-7-111-42423-9_2-2|Creo 2.0高级应用教程
978-7-111-58671-5_1-1|JavaScript开发实战
978-7-111-47587-3_1-1|PowerPoint办公技巧查询与应用宝典
978-7-111-57776-8_1-1|Autodesk CFD入门 进阶 精通
978-7-111-52060-3_1-1|Windows 10使用详解
978-7-111-57946-5_4-1|UG NX 11.0实例宝典
978-7-111-54104-2_6-1|SolidWorks快速入门教程（2016版）
978-7-111-57875-8_1-1|移动界面设计-视觉营造的风向标
978-7-111-45385-7_1-1|AutoCAD 2014辅助设计从入门到精通
978-7-111-59701-8_1-1|图像检测与分割方法及其应用
978-7-111-31626-8_2-5|UG NX 7.0快速入门教程（第2版）
978-7-111-48295-6_1-4|ANSYS Workbench 15.0有限元分析从入门到精通
978-7-111-47152-3_3-1|Creo 3.0工程图教程
978-7-111-46370-2_1-1|Office办公技巧查询与应用宝典
978-7-111-34963-1_2-2|Excel 2010函数.公式查询与应用宝典 第2版
978-7-111-56984-8_4-1|Pro/ENGINEER中文野火版5.0钣金设计实例精解（增值版）
978-7-111-53276-7_3-1|中文版AutoCAD 2016从入门到精通：实战案例版（第3版）
978-7-111-35205-1_2-9|CATIA V5R20快速入门教程
978-7-111-36981-3_2-1|UG NX 8.0曲面设计实例精解
978-7-111-53125-8_7-2|SOLIDWORKS&reg;工程图教程（2016版）
978-7-111-47721-1_1-1|Android系统安全与攻防
978-7-111-38182-2_1-1|图像目标的表示与识别
978-7-111-42424-6_4-4|UG NX 8.5产品设计实例精解
978-7-111-48040-2_1-3|TD-LTE无线网络优化与应用
978-7-111-43319-4_3-1|UG NX 6.0模具设计教程（修订版）
978-7-111-58253-3_1-1|微机原理与接口技术
978-7-111-55722-7_1-1|SAP质量管理及其在采购、生产、销售中的应用与开发
978-7-111-37947-8_1-7|PHP+MySQL+Dreamweaver动态网站建设从入门到精通
978-7-111-55592-6_1-1|solidThinking Inspire优化设计基础与工程应用
978-7-111-49552-9_1-1|跟我学C语言
978-7-111-59214-3_4-1|Creo 4.0曲面设计实例精解
978-7-111-53865-3_1-1|ANSYS 16.0有限元分析入门 进阶 精通
978-7-111-56922-0_1-3|实用机器学习
978-7-111-44013-0_1-1|ANSYS Workbench 14.5数值模拟工程实例解析
978-7-111-32002-9_1-2|S7-300/400PLC基础与案例精选
978-7-111-37453-4_3-1|UG NX 8.0典型实例解析  第3版
978-7-111-57688-4_2-1|SOLIDWORKS&reg;MBD与Inspection教程（2017版）
978-7-111-57204-6_1-1|高效能人士的Excel办公秘技300招
978-7-111-41951-8_1-2|3ds Max室内效果图设计与制作（家居篇）
978-7-111-55538-4_1-1|AutoCAD中文版习题集（含提示）
978-7-111-55514-8_3-1|CATIA V5R20 实例宝典（修订版）
978-7-111-36903-5_3-1|RFID 重大工程与国家物联网（第3版）
978-7-111-54868-3_1-4|机器学习导论
978-7-111-47244-5_1-1|CAXA 2013从入门到精通
978-7-111-46576-8_1-1|精通C4D-5DS+影视包装商业案例全面解析
978-7-111-43915-8_1-1|ASP.NET 4.0与Dreamweaver CS6经典网站开发从入门到精通
978-7-111-49426-3_1-1|深入剖析Linux内核与设备驱动
978-7-111-56712-7_2-1|Creo 4.0中文版完全自学手册  第2版 
978-7-111-52274-4_1-1|Office 2016商务办公应用从入门到精通
978-7-111-39616-1_3-2|CATIA V5R21快速入门教程
978-7-111-60387-0_1-1|中文版UG NX 12从入门到精通
978-7-111-45746-6_1-1|程序员求职之道
978-7-111-58002-7_7-1|AutoCAD 2018中文版机械设计基础与实战 第7版
978-7-111-45768-8_1-1|中文版AutoCAD 2014从入门到精通：实战案例版（第2版）
978-7-111-39087-9_1-1|Java Web编程新手自学手册
978-7-111-48202-4_1-1|实用Linux Shell编程
978-7-111-52252-2_1-1|银行信息安全技术与管理体系
978-7-111-57211-4_2-1|ANSYS 17.0有限元分析完全自学手册  第2版
978-7-111-48538-4_4-1|TWT2014天正给水排水标准教程
978-7-111-51804-4_1-1|淘宝美工：视觉打造爆款
978-7-111-51909-6_1-1|Spark大数据实例开发教程
978-7-111-56983-1_5-1|UG NX 11.0曲面设计实例精解
978-7-111-37882-2_1-1|Creo1.0 钣金设计实例精解
978-7-111-58266-3_4-1|Creo 4.0模具设计教程
978-7-111-48765-4_2-1|UG NX8.5数控加工入门与实例精讲 第2版
978-7-111-51623-1_1-1|Matlab微分方程高效解法：谱方法原理与实现
978-7-111-54863-8_1-1|跨境电商：速卖通开店、推广、运营及管理指南
978-7-111-48794-4_1-1|Altium Designer电路设计从入门到精通
978-7-111-57932-8_5-1|CATIA V5-6R2016曲面设计教程 
978-7-111-44097-0_1-1|AutoCAD 2004 制图软件（新大纲专用）
978-7-111-46236-1_1-1|UG NX 8.5模具设计入门与提高
978-7-111-52928-6_1-1|Spark:原理、机制及应用
978-7-111-44930-0_1-1|ANSYS FLUENT 14.0仿真分析与优化设计
978-7-111-48871-2_5-1|AutoCAD 2015中文版室内设计实例教程
978-7-111-57609-9_2-1|机器智能：人脸工程
978-7-111-49192-7_7-1|AutoCAD机械设计入门与提高（2015版）
978-7-111-41669-2_4-4|UG NX 8.5模具设计教程
978-7-111-34755-2_1-1|数控原理与编程
978-7-111-43813-7_2-3|SketchUp Pro 2015草图大师从入门到精通  第2版
978-7-111-57813-0_5-1|CATIA V5-6R2016快速入门教程
978-7-111-51697-2_2-1|CATIA V5-6 R2014实例宝典
978-7-111-47759-4_1-1|AutoCAD 2015命令速查手册与范例精通
978-7-111-58583-1_4-1|Creo 4.0机械设计教程（高校本科教材）
978-7-111-32243-6_1-2|Excel 2010 会计电算化入门与实战体验
978-7-111-50126-8_1-1|SAP ABAP开发详解与高端应用
978-7-111-37241-7_1-3|商业智能深入浅出——Cognos，Informatica技术与应用
978-7-111-52305-5_8-1|AutoCAD机械设计入门与提高（2016版）
978-7-111-54312-1_4-1|ANSYS 16.1结构分析工程应用实例解析 第4版
978-7-111-59136-8_4-1|Creo 4.0曲面设计教程
978-7-111-40983-0_3-3|LabVIEW 2012中文版虚拟仪器从入门到精通
978-7-111-42887-9_3-1|中文版Photoshop CS6从入门到精通
978-7-111-57712-6_2-1|ANSYS Workbench 17.0有限元分析从入门到精通  第2版
978-7-111-49664-9_1-1|经典实例学设计——AutoCAD 2014机械设计与制图
978-7-111-47600-9_3-1|Creo 3.0数控加工教程
978-7-111-53447-1_1-1|Multisim 14电路设计与仿真
978-7-111-45291-1_1-1|UG NX 8.5运动分析教程
978-7-111-50637-9_1-1|UG NX 6.0快速入门及应用技巧
978-7-111-48673-2_1-2|Creo 3.0从入门到精通
978-7-111-33441-5_2-6|五笔高手速成日记--6天学会五笔打字 双色版
978-7-111-55251-2_3-1|UG NX 8.0实例宝典（修订版）
978-7-111-32964-0_1-1|协同通信: 物理层、信道模型和系统实现
978-7-111-48892-7_3-1|UG NX 8.0工程图教程（典藏版）
978-7-111-56607-6_1-1|梦幻的AfterEffects CC影视创意特效220例
978-7-111-52574-5_2-1|UG NX 10.0产品设计完全学习手册
978-7-111-44508-1_1-1|ARM嵌入式系统基础与应用----基于Proteus和IAR EWARM
978-7-111-46455-6_1-1|中文版AutoCAD 2014电气设计从入门到精通（实战案例版）
978-7-111-48552-0_2-2|3ds Max & VRay灯光/材质/渲染实例精讲
978-7-111-45168-6_1-3|PowerPoint 2007中文演示文稿考前冲刺与全真模拟（新大纲专用）
978-7-111-57205-3_1-3|SOLIDWORKS&reg;电气基础教程（2017版）
978-7-111-50289-0_1-1|数据架构与商业智能
978-7-111-32164-4_1-1|编译器设计之路
978-7-111-35311-9_1-1|AutoCAD给排水·暖通空调·建筑电气设计与工程项目实战
978-7-111-39239-2_1-1|PHP编程新手自学手册
978-7-111-53511-9_1-1|HTML5+CSS+JavaScript网页布局从入门到精通
978-7-111-58799-6_1-1|高效能人士的PPT办公秘技300招
978-7-111-44506-7_1-1|网络编码基础与应用
978-7-111-38369-7_1-1|零基础轻松学修笔记本电脑
978-7-111-60779-3_1-1|Python程序员面试算法宝典
978-7-111-58372-1_4-1|Creo 4.0产品设计实例精解
978-7-111-54427-2_1-1|PowerPoint 2016幻灯片设计从入门到精通
978-7-111-46863-9_1-1|ASP.NET动态网站开发实战教程
978-7-111-47746-4_1-5|Java程序员面试笔试宝典
978-7-111-41444-5_1-1|操作系统实现之路
978-7-111-53165-4_1-1|Autodesk Inventor 2016中文版从入门到精通
978-7-111-40753-9_1-1|二维计算机绘图教程——二维CAD工程师取证全程指导
978-7-111-46093-0_1-1|开目3DCAPP三维装配工艺设计基础教程
978-7-111-44903-4_6-1|UG NX 6.0模具设计实例精解（修订版）
978-7-111-57092-9_5-1|Mastercam X8数控加工教程
978-7-111-49317-4_7-1|AutoCAD快速自学宝典（2015中文版）
978-7-111-49283-2_5-1|AutoCAD机械设计实例精解（2015中文版）   
978-7-111-58275-5_1-1|Alias 2018产品设计从入门到精通
978-7-111-53711-3_4-1|SolidWorks钣金设计实例精解（2016中文版）
978-7-111-51622-4_1-1|AutoCAD 2016中文版机械设计从入门到精通
978-7-111-41531-2_1-1|24小时零基础过关——Internet应用一本通
978-7-111-59891-6_1-1|SAP 基金管理模块全面解析
978-7-111-40060-8_1-1|MATLAB/Simulink与过程控制系统
978-7-111-34928-0_1-2|Android开发入门与实战体验
978-7-111-56727-1_1-2|ANSYS Workbench 17.0热力学分析实例演练
978-7-111-32424-9_1-2|Excel 2010 人力资源管理入门与实战体验 
978-7-111-42852-7_1-1|PHP MVC 开发实战
978-7-111-49934-3_1-1|黑客工具全攻略
978-7-111-44902-7_2-1|ANSYS 14.5/FLOTRAN流场分析从入门到精通
978-7-111-44367-4_3-1|Pro/ENGINEER中文野火版5.0曲面设计实例精解（修订版）
978-7-111-39620-8_1-1|Creo 1.0实例宝典
978-7-111-50241-8_1-1|决策用强化与系统性机器学习
978-7-111-59966-1_5-1|SolidWorks高级应用教程（2017中文版）
978-7-111-47983-3_1-1|经典实例学设计——AutoCAD 2014电气设计与制图
978-7-111-42217-4_1-1|MotionView & MotionSolve应用技巧与实例分析
978-7-111-34833-7_1-2|CATIA V5机械设计从入门到精通
978-7-111-60056-5_1-1|ROBOTC FOR LEGO EV3基础编程与实例
978-7-111-55975-7_8-1|SOLIDWORKS&reg;工程图教程（2017版）
978-7-111-48510-0_3-1|AutoCAD 2015室内家装设计实战——风格与户型篇
978-7-111-42011-8_3-2|UG NX 8.5曲面设计实例精解
978-7-111-52203-4_1-1|Android网络开发从入门到精通
978-7-111-50093-3_1-1|教你轻松玩转Flash CS6—— 动画制作入门与进阶
978-7-111-32763-9_1-1|零基础学Photoshop数码照片处理 中老年版
978-7-111-52977-4_1-1|Creo 3.0模具设计完全自学宝典
978-7-111-52382-6_1-1|Word/Excel/PowerPoint办公应用技巧大全
978-7-111-48299-4_4-1|CATIA V5-6 R2014快速入门教程
978-7-111-44833-4_1-1|AutoCAD 2014电气设计从入门到精通
978-7-111-37794-8_1-2|SolidWorks 2012中文版机械设计完全自学手册
978-7-111-39383-2_1-2|Solidworks2012实例宝典
978-7-111-31641-1_1-6|跟我动手学S7-300/400 PLC
978-7-111-37870-9_1-1|Photoshop CS5.1中文版从入门到精通（超值创意版）
978-7-111-57945-8_3-1|SolidWorks 2017中文版机械设计完全自学手册   第3版
978-7-111-38247-8_1-1|98版五笔字型标准教程
978-7-111-37564-7_4-2|UG NX 8.0模具设计实例精解
978-7-111-60418-1_1-1|计算机控制及系统仿真
978-7-111-60433-4_1-1|无人机简史
978-7-111-48334-2_4-1|机械工程设计分析和MATLAB应用   第4版
978-7-111-53392-4_1-1|HTML5开发从入门到精通
978-7-111-56706-6_2-1|Linux驱动程序开发实例（第2版）
978-7-111-47274-2_1-1|经典实例学设计——SolidWorks 2014 从入门到精通
978-7-111-38632-2_1-1|Creo1.0 曲面设计教程
978-7-111-57320-3_1-1|AutoCAD 2018中文版学习宝典
978-7-111-47286-5_3-1|Creo 3.0模具设计实例精解
978-7-111-40870-3_1-1|IP地址管理原理与实践
978-7-111-56917-6_1-3|商务PPT的说服之道
978-7-111-42053-8_1-1|通信新读——从原理到应用
978-7-111-50942-4_2-1|UG NX 10.0宝典
978-7-111-48297-0_2-1|钣金展开实用技术手册（Creo 3.0 版）
978-7-111-44276-9_1-1|UG NX 8.5入门与范例精通
978-7-111-54953-6_3-1|AutoCAD 2017机械设计完全自学手册  第3版
978-7-111-44299-8_1-1|智能摄像机
978-7-111-55887-3_4-1|Pro/ENGINEER中文野火版5.0快速入门教程(增值版)
978-7-111-39642-0_5-2|AutoCAD快速自学宝典（2013中文版）
978-7-111-59658-5_10-1|AutoCAD快速自学宝典（2018中文版）    
978-7-111-41856-6_1-1|9天练会笔记本电脑维修
978-7-111-44598-2_1-1|ZBrush雕塑艺术完美呈现
978-7-111-57429-3_5-1|CATIA V5-6R2016模具设计教程
978-7-111-49189-7_1-1|MatLab工程基础应用教程
978-7-111-60068-8_5-1|SolidWorks钣金设计实例精解（2017中文版）
978-7-111-58485-8_1-1|工业机器人及其应用
978-7-111-29405-4_1-4|Pro/ENGINEER Wildfire5.0动力学与有限元分析从入门到精通
978-7-111-54749-5_1-1|SAP Web Dynpro For ABAP开发技术详解-高端应用
978-7-111-57491-0_1-1|中文版Creo 4.0从入门到精通
978-7-111-48359-5_1-1|下一代融合网络理论与实践
978-7-111-47796-9_3-1|UG NX 9中文版零件设计实例精讲
978-7-111-44852-5_2-1|UG NX9.0中文版从入门到精通
978-7-111-53552-2_5-1|SolidWorks产品设计实例精解（2016中文版）
978-7-111-57885-7_2-1|Photoshop CC2017图像处理实例教程
978-7-111-56039-5_8-1|SOLIDWORKS&reg;零件与装配体教程（2017版）
978-7-111-33185-8_1-6|网络操作系统教程——Windows Server2008管理与配置
978-7-111-51528-9_1-1|新手案例学——AutoCAD 2016中文版从入门到精通
978-7-111-37346-9_1-1|零点起步——TMS320C6000系列DSP原理与应用系统设计
978-7-111-33810-9_1-2|AutoCAD 2011三维建模入门与实例解析
978-7-111-40337-1_1-2|ANSYS 14.0理论解析与工程应用实例
978-7-111-52725-1_1-1|商业银行私有云设计与实现
978-7-111-39309-2_1-1|SolidWorks 2012中文版完全自学手册
978-7-111-41421-6_1-1|24小时零基础过关——中文Windows XP操作系统一本通
978-7-111-33817-8_1-5|物联网应用启示录——行业分析与案例实践
978-7-111-57565-8_4-1|UG NX 11.0宝典
978-7-111-39674-1_2-7|Creo 2.0快速入门教程
978-7-111-43320-0_3-3|Pro/ENGINEER中文野火版5.0曲面设计教程（修订版）
978-7-111-48614-5_1-4|Photoshop APP UI设计从入门到精通
978-7-111-51885-3_1-1|银行数据中心基础设施建设与运维管理
978-7-111-48470-7_4-1|CATIA V5-6 R2014曲面设计教程 
978-7-111-54293-3_3-1|SOLIDWORKS&reg;模具设计教程（2016版）
978-7-111-50905-9_4-1|RFID重大工程与国家物联网（第4版）
978-7-111-37968-3_1-1|Android项目开发详解
978-7-111-47153-0_3-1|Creo 3.0曲面设计教程
978-7-111-37309-4_1-1|零起点学Linux系统管理  
978-7-111-49073-9_4-1|CATIA V5-6 R2014产品设计实例精解
978-7-111-30930-7_1-1|ABAQUS在能源工程中的算例和应用
978-7-111-54915-4_1-1|SQL Server监控和诊断
978-7-111-57554-2_1-1|城堡里学无人机：原理、系统与实现
978-7-111-48712-8_1-1|物联网技术应用开发
978-7-111-44409-1_3-2|Pro/ENGINEER中文野火版5.0高级应用教程（修订版）   
978-7-111-46358-0_1-2|UG NX 9.0入门 进阶 精通
978-7-111-40547-4_1-1|AutoCAD工程绘图简明教程
978-7-111-49457-7_1-2|ANSYS 15.0有限元分析完全自学手册
978-7-111-59500-7_4-1|Creo 4.0模具设计实例精解
978-7-111-41084-3_1-2|Creo 2.0模具设计教程
978-7-111-40711-9_2-3|ANSYS 14.0有限元分析从入门到精通
978-7-111-40529-0_1-1|快速傅里叶变换：算法与应用
978-7-111-32061-6_1-2|TArch8.0天正建筑设计完全自学手册
978-7-111-43077-3_3-2|UG NX 6.0数控加工教程（修订版）
978-7-111-56862-9_2-1|物联网技术 第2版
978-7-111-40639-6_2-1|Flash CS6中文版标准实例教程
978-7-111-31466-0_2-1|RFID重大工程与国家物联网（第2版）
978-7-111-52505-9_2-1|CAXA 电子图板2015从入门到精通 第2版
978-7-111-35834-3_1-1|C语言编程新手自学手册
978-7-111-29186-2_1-5|Solid Works2010中文版从入门到精通 1碟 
978-7-111-52114-3_2-1|UG NX 10.0模具设计完全学习手册
978-7-111-49642-7_4-1|UGNX10中文版曲面设计从入门到精通
978-7-111-56777-6_1-1|高效能人士的Excel人力资源300招
978-7-111-42656-1_1-2|Creo 2.0运动仿真与分析教程
978-7-111-44652-1_3-1|Pro/ENGINEER中文野火版5.0钣金设计实例精解（修订版）
978-7-111-60409-9_1-1|人工智能技术
978-7-111-48296-3_3-1|Creo 3.0钣金设计教程
978-7-111-44614-9_1-1|UG NX 8.5数控加工入门与提高
978-7-111-38693-3_1-1|Creo1.0 数控加工教程
978-7-111-41806-1_1-1|成功的电信服务设计——设计与实现的全面指南
978-7-111-59484-0_1-1|微型计算机原理及其接口技术
978-7-111-38414-4_2-1|UG NX 8.0完全自学手册  第2版
978-7-111-32574-1_1-2|AutoCAD2011中文版机械绘图实例教程
978-7-111-45047-4_1-4|Word 2007中文字处理考前冲刺与全真模拟（新大纲专用）
978-7-111-48791-3_7-2|UG NX 8.0数控加工教程（典藏版）
978-7-111-55333-5_5-1|AutoCAD 2016电气设计 第5版
978-7-111-48429-5_1-1|6LoWPAN：无线嵌入式物联网
978-7-111-56784-4_1-1|过程控制工程
978-7-111-59129-0_4-1|AutoCAD 2016中文版机械制图教程
978-7-111-56826-1_1-1|视频编码全角度详解：AVS China、H.264/MPEG-4 PART10、HEVC、VP6、DIRAC、VC-1
978-7-111-44068-0_6-1|UG NX 8.0数控加工教程（修订版）
978-7-111-48170-6_2-1|Creo 3.0运动仿真与分析教程
978-7-111-43645-4_2-1|SolidEdge ST5快速入门教程
978-7-111-39080-0_1-1|CATIA环境中的设计CAE及应用
978-7-111-41383-7_1-1|Excel会计和财务实战技巧精粹
978-7-111-51616-3_1-1|Android系统优化从入门到精通
978-7-111-38139-6_1-1|PHOTOSHOP完美广告设计与技术精粹
978-7-111-55104-1_1-1|程序员面试笔试真题库
978-7-111-39917-9_2-2|Dreamweaver CS5+ASP动态网站建设从入门到精通 第2版
978-7-111-59831-2_1-1|云计算开发与安全
978-7-111-42910-4_3-8|CATIA V5R20快速入门教程（修订版）
978-7-111-47967-3_2-1|ANSYS 14.5与HyperMesh 12.0联合仿真有限元分析  第2版
978-7-111-33883-3_1-1|计算机图形学与角色群组仿真
978-7-111-57394-4_5-1|UG NX 11.0钣金设计实例精解
978-7-111-40739-3_4-12|UG NX 8.0快速入门教程（修订版）
978-7-111-48836-1_1-1|人体区域通信——信道建模，通信系统及EMC
978-7-111-32416-4_1-2|Excel 2010 文秘应用入门与实战体验
978-7-111-49482-9_1-1|构建基于IPv6和移动IPv6的物联网：向M2M通信的演进
978-7-111-58373-8_4-1|Creo 4.0高级应用教程
978-7-111-41577-0_1-2|RADIOSS理论基础与工程应用
978-7-111-38796-1_1-2|物联网与传感器技术
978-7-111-56822-3_3-1|SOLIDWORKS&reg;电气高级教程（2017版）
978-7-111-35620-2_1-1|人工智能中的图表推理
978-7-111-57814-7_5-1|CATIA V5-6R2016产品设计实例精解
978-7-111-35767-4_3-3|7天学会五笔字型  双色版
978-7-111-53353-5_1-1|云安全深度剖析：技术原理及应用实践
978-7-111-58882-5_2-1|Photoshop 网站UI设计（第2版）
978-7-111-48233-8_1-1|全相位数字信号处理方法及MATLAB实现
978-7-111-38107-5_1-1|AutoCAD 2012中文版机械制图实用教程
978-7-111-54905-5_1-1|Linux内核安全模块深入剖析
978-7-111-59606-6_4-1|Creo 4.0工程图教程
978-7-111-59197-9_1-1|Spark SQL大数据实例开发教程
978-7-111-50218-0_1-1|SAP 商务智能实用开发与高级功能详解
978-7-111-54169-1_1-1|Scala语言基础与开发实战
978-7-111-58570-1_7-1|SolidWorks快速入门教程（2017版）
978-7-111-49415-7_2-1|Mastercam X7 宝典
978-7-111-48835-4_1-1|经典实例学设计——Creo 3.0 从入门到精通
978-7-111-42292-1_2-1|Creo 2.0数控加工教程
978-7-111-59887-9_10-1|AutoCAD机械设计入门与提高（2018中文版）
978-7-111-56666-3_6-1|SOLIDWORKS&reg;高级曲面教程（2017版）
978-7-111-39099-2_1-1|Creo 1.0宝典
978-7-111-51063-5_2-2|UG NX 10.0运动仿真与分析教程
978-7-111-47737-2_2-1|AutoCAD 2014中文版电气设计实例教程
978-7-111-59872-5_1-1|Python 深度学习实战：75个有关神经网络建模、强化学习与迁移学习的解决方案
978-7-111-53420-4_3-1|中文Windows 7操作系统考前冲刺与全真模拟
978-7-111-54477-7_2-1|AutoCAD 2017完全自学手册  第2版
